Distance Packets_Sent Packets_Received
1.2446 65.0 57
3.29231425596 65.0 54
12.4575283343 25.0 2
1.60663784345 64.0 58
2.3828665846 65.0 58
11.4470617103 58.0 52
2.3828665846 66.0 56
1.60663784345 64.0 47
10.4376694429 56.0 13
3.29231425596 66.0 45
1.2446 65.0 60
9.42969654867 59.0 51
4.25030883113 64.0 50
1.60663784345 65.0 59
5.23024178791 66.0 28
2.3828665846 65.0 59
7.42032210891 58.0 12
6.89505912955 66.0 41
3.93577077585 63.0 50
5.74972075148 56.0 49
7.89650011081 63.0 29
4.91015572054 64.0 39
4.76288945074 59.0 44
8.90124146398 65.0 28
5.89859973214 61.0 50
3.791497741 55.0 28
9.90827922497 56.0 2
6.89505912955 61.0 43
2.85136920093 58.0 25
10.9169779152 64.0 27
7.89650011081 65.0 46
1.98737754843 59.0 37
12.4575283343 53.0 5
9.42969654867 53.0 16
1.2446 59.0 53
13.4688275139 61.0 24
10.4376694429 62.0 23
1.60663784345 59.0 56
11.4470617103 56.0 15
2.3828665846 59.0 52
15.4932712943 55.0 2
12.4575283343 58.0 6
3.29231425596 58.0 42
16.5061895603 53.0 9
13.4688275139 55.0 18
4.25030883113 58.0 25
5.23024178791 66.0 13
4.75251580113 49.0 42
7.93594536776 6.0 2
14.6360653961 28.0 6
4.25030883113 69.0 48
3.91926197644 51.0 46
6.97728337392 30.0 14
13.6356369811 9.0 2
3.29231425596 69.0 37
5.65057239578 44.0 11
3.19363968537 53.0 50
6.03740421705 34.0 7
12.6376933607 33.0 6
2.3828665846 69.0 60
4.66489515423 46.0 14
2.66506405927 53.0 46
5.12664881575 12.0 7
11.642873489 37.0 25
1.60663784345 69.0 59
3.69567817863 48.0 23
2.4638 48.0 46
4.26372120102 44.0 39
10.6520526041 48.0 32
1.2446 69.0 44
2.76031512694 41.0 6
2.66506405927 53.0 43
3.48433937497 48.0 31
9.66646048355 31.0 10
12.4575283343 67.0 21
7.74604223588 50.0 36
9.22831323482 4.0 1
13.6356369811 18.0 12
8.03258685605 23.0 7
7.52667618807 48.0 41
6.74521856725 44.0 11
12.6376933607 49.0 30
7.07242920078 20.0 16
6.57506855021 47.0 29
10.4376694429 59.0 7
5.74972075148 53.0 51
11.642873489 37.0 21
6.13029934016 48.0 43
5.6459463724 49.0 41
9.42969654867 43.0 5
4.76288945074 50.0 39
10.6520526041 49.0 37
5.21597519166 48.0 44
4.75251580113 47.0 36
8.42365256881 61.0 15
3.791497741 49.0 16
5.23024178791 28.0 3
9.66646048355 38.0 8
4.34703765799 49.0 42
3.91926197644 50.0 43
2.85136920093 49.0 21
4.25030883113 47.0 29
8.68787683384 11.0 4
3.55690702718 41.0 23
3.19363968537 50.0 46
8.42365256881 6.0 1
3.791497741 49.0 29
3.29231425596 52.0 38
4.34703765799 47.0 37
2.66506405927 47.0 44
4.76288945074 39.0 6
2.3828665846 52.0 34
10.6520526041 10.0 1
5.21597519166 48.0 33
2.4638 46.0 42
5.74972075148 37.0 9
1.60663784345 51.0 46
2.66506405927 49.0 47
6.74521856725 39.0 3
1.2446 52.0 40
12.6376933607 34.0 7
7.07242920078 42.0 29
3.19363968537 47.0 44
5.6459463724 66.0 8
7.93594536776 37.0 1
4.25030883113 47.0 23
7.64577972479 40.0 22
4.75251580113 69.0 30
6.97728337392 45.0 6
3.29231425596 50.0 38
6.64538952959 4.0 3
13.4688275139 31.0 12
3.91926197644 69.0 42
6.03740421705 32.0 8
2.3828665846 50.0 40
5.65057239578 3.0 2
12.4575283343 34.0 16
3.19363968537 69.0 50
5.12664881575 51.0 27
13.6356369811 7.0 2
1.60663784345 47.0 31
4.66489515423 42.0 23
11.4470617103 45.0 30
2.66506405927 69.0 52
1.2446 51.0 45
3.69567817863 48.0 31
10.4376694429 49.0 33
2.4638 69.0 60
3.48433937497 51.0 25
1.60663784345 49.0 30
12.6376933607 70.0 30
8.03258685605 53.0 50
9.47011332773 4.0 3
13.4688275139 53.0 46
7.74604223588 47.0 35
7.22008124331 50.0 37
11.642873489 67.0 52
7.07242920078 51.0 46
12.4575283343 43.0 10
6.74521856725 46.0 33
6.22175579399 49.0 43
10.6520526041 69.0 46
6.13029934016 52.0 52
7.52667618807 32.0 5
11.4470617103 49.0 28
5.74972075148 48.0 40
5.23024178791 45.0 34
9.66646048355 60.0 17
5.21597519166 52.0 51
6.57506855021 35.0 5
10.4376694429 47.0 39
4.76288945074 50.0 43
4.25030883113 48.0 46
8.68787683384 69.0 56
4.34703765799 47.0 19
5.6459463724 21.0 2
9.42969654867 38.0 9
3.791497741 49.0 46
3.29231425596 31.0 11
7.71896764341 46.0 3
3.55690702718 41.0 18
4.75251580113 51.0 38
8.42365256881 36.0 10
2.85136920093 23.0 17
2.3828665846 49.0 47
8.68787683384 52.0 4
4.34703765799 46.0 19
3.91926197644 46.0 25
9.42969654867 9.0 1
3.791497741 48.0 36
1.60663784345 48.0 46
9.66646048355 48.0 13
5.21597519166 3.0 2
3.19363968537 50.0 40
10.4376694429 32.0 1
