Distance Packets_Sent Packets_Received
1.2446 61.0 52
3.29231425596 12.0 4
1.60663784345 46.0 17
2.3828665846 42.0 40
2.3828665846 43.0 16
1.60663784345 37.0 27
3.29231425596 33.0 13
1.2446 42.0 40
4.25030883113 32.0 10
1.60663784345 34.0 23
5.23024178791 11.0 2
2.3828665846 18.0 9
5.74972075148 6.0 3
4.91015572054 11.0 6
4.76288945074 34.0 4
5.89859973214 22.0 5
2.85136920093 10.0 3
1.98737754843 1.0 1
1.2446 46.0 36
1.60663784345 44.0 33
2.3828665846 48.0 43
3.29231425596 43.0 19
4.25030883113 46.0 38
5.23024178791 16.0 6
4.75251580113 54.0 6
4.25030883113 33.0 7
6.64538952959 76.0 22
3.91926197644 59.0 46
6.97728337392 39.0 6
3.29231425596 46.0 29
3.19363968537 58.0 45
6.03740421705 10.0 1
2.3828665846 32.0 21
2.66506405927 57.0 42
5.12664881575 41.0 33
1.60663784345 62.0 55
3.69567817863 63.0 8
2.4638 57.0 39
4.26372120102 36.0 8
1.2446 61.0 50
2.76031512694 57.0 7
2.66506405927 2.0 2
3.48433937497 35.0 15
12.4575283343 28.0 5
7.74604223588 64.0 21
13.6356369811 45.0 27
8.03258685605 42.0 30
7.52667618807 49.0 6
11.4470617103 31.0 11
6.74521856725 54.0 17
12.6376933607 46.0 6
7.07242920078 33.0 19
6.57506855021 83.0 3
10.4376694429 53.0 24
5.74972075148 82.0 53
6.13029934016 42.0 31
4.76288945074 83.0 65
5.21597519166 38.0 29
8.42365256881 7.0 2
3.791497741 76.0 46
5.23024178791 16.0 4
9.66646048355 56.0 27
4.34703765799 41.0 37
3.91926197644 77.0 4
4.25030883113 51.0 5
3.55690702718 34.0 8
3.19363968537 76.0 27
3.791497741 43.0 3
3.29231425596 54.0 35
2.66506405927 77.0 22
4.76288945074 80.0 25
2.3828665846 54.0 45
5.21597519166 12.0 4
2.4638 80.0 49
1.60663784345 55.0 49
2.66506405927 85.0 41
1.2446 54.0 48
3.19363968537 83.0 27
5.6459463724 58.0 23
4.25030883113 3.0 1
4.75251580113 58.0 34
6.97728337392 13.0 1
3.29231425596 47.0 3
3.91926197644 56.0 31
6.03740421705 44.0 10
2.3828665846 48.0 27
5.65057239578 39.0 15
3.19363968537 49.0 37
5.12664881575 77.0 26
1.60663784345 59.0 49
4.66489515423 41.0 16
2.66506405927 59.0 56
4.26372120102 77.0 20
1.2446 58.0 46
3.69567817863 35.0 14
2.4638 62.0 55
3.48433937497 82.0 50
1.60663784345 57.0 38
2.76031512694 32.0 4
12.6376933607 56.0 36
8.03258685605 64.0 20
9.47011332773 41.0 3
13.4688275139 55.0 34
7.74604223588 20.0 13
11.642873489 58.0 24
7.07242920078 81.0 60
12.4575283343 55.0 10
6.74521856725 41.0 33
6.22175579399 54.0 1
10.6520526041 46.0 22
6.13029934016 84.0 66
7.52667618807 16.0 1
11.4470617103 58.0 12
5.74972075148 44.0 33
5.23024178791 82.0 3
9.66646048355 27.0 9
5.21597519166 83.0 69
10.4376694429 48.0 13
4.76288945074 42.0 31
4.25030883113 75.0 22
8.68787683384 11.0 3
4.34703765799 76.0 48
5.6459463724 36.0 6
9.42969654867 2.0 1
3.791497741 44.0 36
3.29231425596 81.0 2
7.71896764341 19.0 1
3.55690702718 81.0 32
4.75251580113 54.0 43
2.85136920093 13.0 8
2.3828665846 83.0 44
4.34703765799 59.0 20
3.91926197644 49.0 39
3.791497741 2.0 1
1.60663784345 81.0 35
3.19363968537 51.0 42
1.2446 83.0 53
6.13029934016 33.0 5
2.66506405927 53.0 47
11.4470617103 3.0 1
1.60663784345 84.0 48
7.07242920078 50.0 2
2.4638 53.0 46
2.3828665846 61.0 16
1.2446 58.0 36
3.29231425596 3.0 3
1.60663784345 61.0 42
2.3828665846 34.0 15
2.3828665846 60.0 37
1.60663784345 42.0 42
3.29231425596 57.0 19
1.2446 40.0 31
4.25030883113 59.0 25
1.60663784345 32.0 23
5.23024178791 32.0 12
2.3828665846 18.0 11
17.5194647236 5.0 1
14.4807848199 37.0 26
16.5061895603 39.0 11
13.4688275139 22.0 5
4.25030883113 26.0 12
15.4932712943 5.0 1
12.4575283343 28.0 9
3.29231425596 12.0 4
11.4470617103 5.0 3
2.3828665846 47.0 31
13.4688275139 16.0 1
10.4376694429 16.0 4
1.60663784345 24.0 9
1.2446 30.0 13
1.60663784345 43.0 27
3.29231425596 37.0 18
4.25030883113 30.0 4
