Distance Rssi
5.116445266 -76.5489130435
7.56839022514 -84.0
4.10946567816 -75.9310344828
6.55620202556 -85.6666666667
3.10836229549 -70.2341463415
5.54540813647 -81.8666666667
14.44007313 -83.0256410256
2.12147028261 -70.9457013575
4.53694057708 -82.3846153846
1.18484942503 -64.1275720165
3.53279212522 -76.1597633136
12.4101811107 -81.5319148936
0.6096 -63.6025641026
2.53809428509 -81.9523809524
11.3955168729 -86.0
1.80768786022 -76.3141361257
3.10836229549 -67.5327102804
9.69658099126 -78.9444444444
2.78532744933 -73.0
2.12147028261 -72.4497354497
8.68282569905 -83.5416666667
3.78323599581 -76.7183098592
1.18484942503 -75.9489795918
7.66966448549 -84.5333333333
4.78875894152 -77.1132075472
0.6096 -59.7053140097
6.65736858826 -81.3770491803
5.79793599482 -72.6784140969
1.18484942503 -65.935
5.64640343227 -77.1595092025
7.34055605523 -84.5
2.63683319912 -74.5607476636
4.10946567816 -76.6647398844
8.3534726671 -78.7191780822
3.63291042004 -75.0957446809
3.10836229549 -70.8947368421
9.36705716861 -82.4090909091
4.63763936933 -77.1781609195
2.12147028261 -65.5368852459
10.3811139287 -79.519379845
5.64640343227 -73.0157068063
1.18484942503 -62.6872427984
11.3955168729 -81.04
6.65736858826 -76.7210884354
0.6096 -57.0963855422
0.6096 -68.7201257862
3.10836229549 -69.8221153846
1.18484942503 -68.034591195
2.12147028261 -68.0043478261
11.3955168729 -84.0
2.12147028261 -71.213559322
1.18484942503 -69.6288209607
10.3811139287 -82.6666666667
3.10836229549 -77.2405063291
0.6096 -56.563559322
9.36705716861 -78.5192307692
4.10946567816 -75.114379085
1.18484942503 -64.8364485981
8.3534726671 -81.0
5.116445266 -77.9203539823
2.12147028261 -80.0648148148
7.34055605523 -80.9680851064
17.4858293255 -82.1052631579
14.44007313 -77.1436464088
5.116445266 -70.8482490272
16.4704850202 -81.7118644068
13.4250473966 -74.180952381
4.10946567816 -79.6016949153
15.4552268958 -81.0961538462
12.4101811107 -75.4639175258
3.10836229549 -69.4304347826
2.12147028261 -74.5964125561
13.4250473966 -84.2173913043
10.3811139287 -78.0386740331
1.18484942503 -76.4411764706
12.4101811107 -88.0
0.6096 -61.7265625
1.18484942503 -79.1333333333
14.44007313 -85.6666666667
2.12147028261 -74.5217391304
15.4552268958 -84.7857142857
3.10836229549 -70.4404761905
16.4704850202 -82.0
13.4250473966 -87.0
4.10946567816 -78.5597484277
0.6096 -62.1855955679
3.10836229549 -68.8686440678
12.4101811107 -82.5714285714
1.18484942503 -61.0080428954
2.12147028261 -71.4324324324
11.3955168729 -79.8571428571
2.12147028261 -63.2329545455
1.18484942503 -69.0222222222
10.3811139287 -81.4736842105
3.10836229549 -71.2676923077
0.6096 -67.7053571429
9.36705716861 -81.328125
4.10946567816 -71.6906906907
1.18484942503 -64.5489361702
8.3534726671 -82.8125
5.116445266 -78.5042735043
2.12147028261 -74.676300578
7.34055605523 -77.9685534591
17.4858293255 -79.5454545455
14.44007313 -70.4634146341
5.116445266 -70.3739837398
16.4704850202 -81.1739130435
13.4250473966 -78.1743119266
4.10946567816 -78.1294964029
15.4552268958 -78.8429319372
12.4101811107 -78.3262411348
3.10836229549 -68.4959677419
14.44007313 -81.8260869565
11.3955168729 -77.7678571429
2.12147028261 -66.5236220472
13.4250473966 -82.4230769231
10.3811139287 -82.2553191489
1.18484942503 -77.4685714286
9.36705716861 -81.1428571429
0.6096 -64.816
1.18484942503 -60.0276679842
14.44007313 -84.0909090909
2.12147028261 -58.5387755102
15.4552268958 -84.0
12.4101811107 -79.0
3.10836229549 -78.3559322034
4.10946567816 -76.6503496503
4.10946567816 -70.2551440329
7.56839022514 -76.9
14.44007313 -81.641509434
3.10836229549 -74.8076923077
6.55620202556 -79.8253968254
13.4250473966 -82.16
2.12147028261 -71.1467889908
5.54540813647 -77.7741935484
12.4101811107 -81.5128205128
1.18484942503 -68.6680672269
4.53694057708 -69.4015444015
0.6096 -53.0703703704
3.53279212522 -72.356846473
10.3811139287 -77.5867768595
1.18484942503 -69.9776785714
2.53809428509 -73.5793991416
9.36705716861 -76.5063291139
13.4250473966 -76.7034482759
7.66966448549 -70.4876033058
7.13807790375 -75.1962025316
12.4101811107 -73.347826087
6.65736858826 -68.2801724138
6.12640417864 -73.7421383648
11.3955168729 -81.7272727273
5.64640343227 -64.4828897338
5.116445266 -80.2173913043
10.3811139287 -84.0
4.63763936933 -58.8538461538
4.10946567816 -75.1419354839
9.36705716861 -77.7126436782
3.63291042004 -60.5100401606
3.10836229549 -74.437037037
8.3534726671 -81.5333333333
2.63683319912 -77.2482269504
2.12147028261 -67.2023121387
9.36705716861 -84.5
3.63291042004 -75.3628318584
1.18484942503 -66.7714285714
4.63763936933 -79.8080808081
0.6096 -55.735
5.64640343227 -80.196969697
1.18484942503 -72.7708333333
6.65736858826 -81.6666666667
2.12147028261 -74.2781065089
