Distance Packets_Sent Packets_Received
5.1106415879 35.0 4
8.15545706138 36.0 21
4.34659239405 51.0 41
7.22597635479 31.0 11
3.70561539289 51.0 36
6.32317172628 27.0 7
12.7766797127 38.0 19
3.26110678145 49.0 43
5.46029111678 5.0 2
3.0988 53.0 52
4.6595675207 23.0 9
10.8165833644 44.0 17
3.26110678145 52.0 39
3.95889781126 30.0 16
9.84747222794 31.0 9
4.12177125518 48.0 24
4.34659239405 41.0 28
8.24952741677 46.0 34
4.85219784015 50.0 35
3.70561539289 47.0 36
7.31788943617 33.0 4
5.67125748666 33.0 6
3.26110678145 3.0 3
6.41192802517 48.0 36
6.54576283408 49.0 36
3.0988 48.0 40
5.54424460139 49.0 34
7.45623046049 41.0 11
3.26110678145 49.0 44
4.73592518944 48.0 43
8.8888387813 45.0 30
4.02291419247 26.0 16
3.70561539289 49.0 43
9.84747222794 38.0 5
4.73592518944 48.0 38
3.26110678145 46.0 43
10.8165833644 8.0 2
5.54424460139 36.0 13
3.0988 48.0 37
11.7935895333 10.0 1
6.41192802517 16.0 10
3.26110678145 5.0 5
7.31788943617 39.0 23
3.70561539289 48.0 42
5.95054295338 69.0 1
5.1106415879 69.0 42
7.22597635479 16.0 1
4.34659239405 69.0 22
6.32317172628 44.0 5
3.70561539289 69.0 43
5.46029111678 44.0 14
3.26110678145 70.0 64
4.6595675207 46.0 8
3.0988 69.0 51
3.95889781126 48.0 18
12.7766797127 67.0 19
8.24952741677 41.0 9
11.7935895333 69.0 10
7.31788943617 51.0 41
10.8165833644 24.0 1
6.41192802517 45.0 18
7.75777709399 7.0 1
9.84747222794 34.0 2
5.54424460139 51.0 40
6.83840459757 30.0 3
8.8888387813 60.0 6
4.73592518944 51.0 43
4.02291419247 44.0 4
5.1106415879 41.0 12
4.73592518944 40.0 6
4.34659239405 51.0 28
3.70561539289 48.0 26
6.41192802517 30.0 3
3.26110678145 51.0 47
3.0988 30.0 15
