Distance Rssi
5.1106415879 -81.9
4.34659239405 -79.5
3.70561539289 -82.2
3.26110678145 -77.8536585366
3.0988 -76.972972973
4.6595675207 -82.3333333333
3.26110678145 -77.5111111111
3.95889781126 -84.6666666667
4.34659239405 -76.1875
4.85219784015 -81.0909090909
3.70561539289 -80.2352941176
3.26110678145 -78.7142857143
6.54576283408 -85.0
3.0988 -77.064516129
5.54424460139 -82.6666666667
3.26110678145 -78.5
4.02291419247 -87.0
3.70561539289 -83.5
9.84747222794 -85.0
4.73592518944 -81.0
3.26110678145 -80.4
3.0988 -72.8431372549
3.26110678145 -81.0
3.70561539289 -80.3529411765
5.95054295338 -85.0
5.1106415879 -81.4285714286
7.22597635479 -86.0
4.34659239405 -80.6875
3.70561539289 -81.0
3.26110678145 -70.2307692308
4.6595675207 -84.6
3.0988 -67.0
3.95889781126 -84.0
12.7766797127 -81.5555555556
8.24952741677 -79.3333333333
11.7935895333 -82.4
7.31788943617 -78.2777777778
8.69867492438 -85.0
10.8165833644 -76.3333333333
6.41192802517 -76.3962264151
5.54424460139 -71.65625
8.8888387813 -81.5
4.73592518944 -80.023255814
4.02291419247 -82.6666666667
5.1106415879 -85.0
4.73592518944 -83.25
4.34659239405 -82.2727272727
3.70561539289 -77.8
3.26110678145 -80.28
3.0988 -75.7391304348
