Distance Rssi
0.6096 -61.5652173913
2.12147028261 -72.8888888889
0.6096 -72.3076923077
1.18484942503 -68.9333333333
1.18484942503 -60.375
0.6096 -67.8461538462
0.6096 -69.6818181818
3.10836229549 -78.1764705882
1.18484942503 -75.1904761905
2.12147028261 -76.0666666667
2.12147028261 -74.8666666667
1.18484942503 -79.6666666667
3.10836229549 -75.0
0.6096 -58.9655172414
4.10946567816 -79.4
1.18484942503 -71.6666666667
8.3534726671 -85.0
2.12147028261 -82.3333333333
14.44007313 -84.0
5.116445266 -76.0
13.4250473966 -81.0
4.10946567816 -83.5
3.10836229549 -74.1724137931
11.3955168729 -78.0
2.12147028261 -80.0833333333
1.18484942503 -80.6
0.6096 -60.2666666667
1.18484942503 -75.275862069
2.12147028261 -77.04
3.10836229549 -77.0952380952
4.10946567816 -74.3333333333
0.6096 -70.962962963
3.10836229549 -73.7727272727
1.18484942503 -71.2173913043
2.12147028261 -74.0454545455
2.12147028261 -70.7307692308
1.18484942503 -76.380952381
3.10836229549 -73.0
0.6096 -71.1785714286
9.36705716861 -83.6666666667
4.10946567816 -77.1666666667
1.18484942503 -69.4230769231
5.116445266 -78.1666666667
2.12147028261 -76.2
14.44007313 -83.25
5.116445266 -83.0
13.4250473966 -82.0
4.10946567816 -76.9166666667
15.4552268958 -81.25
12.4101811107 -82.6666666667
3.10836229549 -73.8620689655
2.12147028261 -78.6666666667
13.4250473966 -85.0
10.3811139287 -82.1666666667
1.18484942503 -79.75
0.6096 -77.2857142857
1.18484942503 -71.5714285714
2.12147028261 -76.6666666667
3.10836229549 -73.2307692308
4.10946567816 -77.7647058824
4.10946567816 -79.1428571429
3.10836229549 -75.2631578947
6.55620202556 -83.0
2.12147028261 -78.5
5.54540813647 -78.8333333333
1.18484942503 -77.125
4.53694057708 -81.0
0.6096 -64.8095238095
3.53279212522 -74.2142857143
1.18484942503 -74.3913043478
2.53809428509 -76.6666666667
9.36705716861 -78.0
13.4250473966 -75.75
7.66966448549 -73.0769230769
7.13807790375 -80.6666666667
12.4101811107 -80.4
6.65736858826 -76.4444444444
6.12640417864 -74.16
11.3955168729 -83.0
5.64640343227 -70.9411764706
4.63763936933 -64.8888888889
3.63291042004 -66.2352941176
3.10836229549 -82.3333333333
2.12147028261 -68.9583333333
1.18484942503 -68.7391304348
0.6096 -69.6666666667
1.18484942503 -72.8095238095
2.12147028261 -77.4
