Distance Packets_Sent Packets_Received
5.116445266 30.0 1
7.56839022514 32.0 1
16.4704850202 33.0 1
4.10946567816 30.0 1
6.55620202556 32.0 1
15.4552268958 33.0 1
3.10836229549 30.0 1
5.54540813647 32.0 1
14.44007313 33.0 1
2.12147028261 30.0 1
4.53694057708 32.0 1
13.4250473966 33.0 1
1.18484942503 30.0 1
3.53279212522 32.0 1
12.4101811107 33.0 1
0.6096 30.0 23
2.53809428509 32.0 1
11.3955168729 33.0 1
1.80768786022 30.0 1
3.10836229549 32.0 1
9.69658099126 33.0 1
2.78532744933 30.0 1
2.12147028261 32.0 9
8.68282569905 33.0 1
3.78323599581 30.0 1
1.18484942503 32.0 1
7.66966448549 33.0 1
4.78875894152 30.0 1
0.6096 32.0 13
6.65736858826 33.0 1
5.79793599482 30.0 1
1.18484942503 32.0 15
5.64640343227 33.0 1
7.34055605523 30.0 1
2.63683319912 32.0 1
4.10946567816 33.0 1
8.3534726671 30.0 1
3.63291042004 32.0 1
3.10836229549 33.0 1
9.36705716861 30.0 1
4.63763936933 32.0 1
2.12147028261 33.0 1
10.3811139287 30.0 1
5.64640343227 32.0 1
1.18484942503 33.0 32
11.3955168729 30.0 1
6.65736858826 32.0 1
0.6096 33.0 13
0.6096 34.0 22
3.10836229549 32.0 17
12.4101811107 34.0 1
1.18484942503 34.0 21
2.12147028261 32.0 15
11.3955168729 34.0 1
2.12147028261 34.0 15
1.18484942503 32.0 6
10.3811139287 34.0 1
3.10836229549 34.0 4
0.6096 32.0 29
9.36705716861 34.0 1
4.10946567816 34.0 5
1.18484942503 32.0 30
8.3534726671 34.0 1
5.116445266 34.0 1
2.12147028261 32.0 3
7.34055605523 34.0 1
17.4858293255 34.0 1
14.44007313 32.0 1
5.116445266 34.0 28
16.4704850202 34.0 1
13.4250473966 32.0 1
4.10946567816 34.0 2
15.4552268958 34.0 1
12.4101811107 32.0 1
3.10836229549 34.0 29
14.44007313 34.0 1
11.3955168729 32.0 2
2.12147028261 34.0 12
13.4250473966 34.0 1
10.3811139287 32.0 1
1.18484942503 34.0 15
12.4101811107 34.0 1
9.36705716861 32.0 1
0.6096 34.0 30
13.4250473966 34.0 1
10.3811139287 32.0 1
1.18484942503 34.0 29
14.44007313 34.0 1
11.3955168729 32.0 1
2.12147028261 34.0 25
15.4552268958 34.0 1
12.4101811107 32.0 1
3.10836229549 34.0 21
16.4704850202 34.0 1
13.4250473966 32.0 1
4.10946567816 34.0 27
0.6096 34.0 27
3.10836229549 32.0 22
12.4101811107 34.0 1
1.18484942503 34.0 23
2.12147028261 32.0 22
11.3955168729 34.0 1
2.12147028261 34.0 26
1.18484942503 32.0 21
10.3811139287 34.0 1
3.10836229549 34.0 20
0.6096 32.0 28
9.36705716861 34.0 3
4.10946567816 34.0 12
1.18484942503 32.0 26
8.3534726671 34.0 1
5.116445266 34.0 12
2.12147028261 32.0 10
7.34055605523 34.0 1
17.4858293255 34.0 1
14.44007313 32.0 4
5.116445266 34.0 5
16.4704850202 34.0 1
13.4250473966 32.0 6
4.10946567816 34.0 24
15.4552268958 34.0 4
12.4101811107 32.0 3
3.10836229549 34.0 29
14.44007313 34.0 1
11.3955168729 32.0 1
2.12147028261 34.0 21
13.4250473966 34.0 1
10.3811139287 32.0 6
1.18484942503 34.0 4
12.4101811107 34.0 1
9.36705716861 32.0 1
0.6096 34.0 14
13.4250473966 34.0 1
10.3811139287 32.0 1
1.18484942503 34.0 28
14.44007313 34.0 1
11.3955168729 32.0 1
2.12147028261 34.0 15
15.4552268958 34.0 1
12.4101811107 32.0 1
3.10836229549 34.0 26
16.4704850202 34.0 1
13.4250473966 32.0 1
4.10946567816 34.0 17
4.10946567816 30.0 7
7.56839022514 26.0 1
14.44007313 32.0 1
3.10836229549 30.0 19
6.55620202556 26.0 2
13.4250473966 32.0 1
2.12147028261 30.0 4
5.54540813647 26.0 6
12.4101811107 32.0 1
1.18484942503 30.0 8
4.53694057708 26.0 3
11.3955168729 32.0 1
0.6096 30.0 21
3.53279212522 26.0 14
10.3811139287 32.0 1
1.18484942503 30.0 23
2.53809428509 26.0 15
9.36705716861 32.0 8
13.4250473966 30.0 20
7.66966448549 26.0 13
7.13807790375 32.0 3
12.4101811107 30.0 5
6.65736858826 26.0 9
6.12640417864 32.0 25
11.3955168729 30.0 1
5.64640343227 26.0 17
5.116445266 32.0 1
10.3811139287 30.0 1
4.63763936933 26.0 18
4.10946567816 32.0 1
9.36705716861 30.0 1
3.63291042004 26.0 17
3.10836229549 32.0 3
8.3534726671 30.0 1
2.63683319912 26.0 1
2.12147028261 32.0 24
9.36705716861 30.0 1
3.63291042004 26.0 1
1.18484942503 32.0 23
10.3811139287 30.0 1
4.63763936933 26.0 1
0.6096 32.0 27
11.3955168729 30.0 1
5.64640343227 26.0 1
1.18484942503 32.0 21
12.4101811107 30.0 1
6.65736858826 26.0 1
2.12147028261 32.0 5
