Distance Packets_Sent Packets_Received
5.116445266 27.0 21
7.56839022514 37.0 21
16.4704850202 32.0 1
4.10946567816 27.0 17
6.55620202556 37.0 1
15.4552268958 32.0 1
3.10836229549 27.0 21
5.54540813647 37.0 8
14.44007313 32.0 1
2.12147028261 27.0 19
4.53694057708 37.0 9
13.4250473966 32.0 1
1.18484942503 27.0 26
3.53279212522 37.0 8
12.4101811107 32.0 1
0.6096 27.0 22
2.53809428509 37.0 13
11.3955168729 32.0 1
1.80768786022 27.0 23
3.10836229549 37.0 24
9.69658099126 32.0 1
2.78532744933 27.0 4
2.12147028261 37.0 33
8.68282569905 32.0 1
3.78323599581 27.0 15
1.18484942503 37.0 30
7.66966448549 32.0 4
4.78875894152 27.0 1
0.6096 37.0 32
6.65736858826 32.0 1
5.79793599482 27.0 20
1.18484942503 37.0 35
5.64640343227 32.0 1
7.34055605523 27.0 1
2.63683319912 37.0 23
4.10946567816 32.0 11
8.3534726671 27.0 1
3.63291042004 37.0 30
3.10836229549 32.0 4
9.36705716861 27.0 8
4.63763936933 37.0 18
2.12147028261 32.0 29
10.3811139287 27.0 6
5.64640343227 37.0 22
1.18484942503 32.0 24
11.3955168729 27.0 15
6.65736858826 37.0 27
0.6096 32.0 31
0.6096 30.0 26
3.10836229549 25.0 13
12.4101811107 39.0 1
1.18484942503 30.0 29
2.12147028261 25.0 17
11.3955168729 39.0 3
2.12147028261 30.0 24
1.18484942503 25.0 21
10.3811139287 39.0 4
3.10836229549 30.0 18
0.6096 25.0 19
9.36705716861 39.0 19
4.10946567816 30.0 21
1.18484942503 25.0 21
8.3534726671 39.0 17
5.116445266 30.0 5
2.12147028261 25.0 3
7.34055605523 39.0 19
17.4858293255 30.0 5
14.44007313 25.0 6
5.116445266 39.0 20
16.4704850202 30.0 7
13.4250473966 25.0 1
4.10946567816 39.0 33
15.4552268958 30.0 6
12.4101811107 25.0 6
3.10836229549 39.0 30
14.44007313 30.0 10
11.3955168729 25.0 10
2.12147028261 39.0 37
13.4250473966 30.0 1
10.3811139287 25.0 12
1.18484942503 39.0 34
12.4101811107 30.0 1
9.36705716861 25.0 1
0.6096 39.0 35
13.4250473966 30.0 1
10.3811139287 25.0 1
1.18484942503 39.0 31
14.44007313 30.0 1
11.3955168729 25.0 1
2.12147028261 39.0 34
15.4552268958 30.0 1
12.4101811107 25.0 1
3.10836229549 39.0 31
16.4704850202 30.0 1
13.4250473966 25.0 1
4.10946567816 39.0 19
0.6096 30.0 24
3.10836229549 25.0 19
12.4101811107 39.0 6
1.18484942503 30.0 27
2.12147028261 25.0 21
11.3955168729 39.0 7
2.12147028261 30.0 28
1.18484942503 25.0 22
10.3811139287 39.0 2
3.10836229549 30.0 23
0.6096 25.0 19
9.36705716861 39.0 14
4.10946567816 30.0 21
1.18484942503 25.0 22
8.3534726671 39.0 10
5.116445266 30.0 20
2.12147028261 25.0 22
7.34055605523 39.0 19
17.4858293255 30.0 1
14.44007313 25.0 17
5.116445266 39.0 35
16.4704850202 30.0 9
13.4250473966 25.0 15
4.10946567816 39.0 12
15.4552268958 30.0 9
12.4101811107 25.0 8
3.10836229549 39.0 29
14.44007313 30.0 5
11.3955168729 25.0 14
2.12147028261 39.0 14
13.4250473966 30.0 1
10.3811139287 25.0 1
1.18484942503 39.0 20
12.4101811107 30.0 1
9.36705716861 25.0 1
0.6096 39.0 26
13.4250473966 30.0 1
10.3811139287 25.0 1
1.18484942503 39.0 34
14.44007313 30.0 1
11.3955168729 25.0 1
2.12147028261 39.0 33
15.4552268958 30.0 1
12.4101811107 25.0 1
3.10836229549 39.0 17
16.4704850202 30.0 1
13.4250473966 25.0 1
4.10946567816 39.0 27
4.10946567816 29.0 23
7.56839022514 27.0 1
14.44007313 29.0 21
3.10836229549 27.0 1
6.55620202556 29.0 24
13.4250473966 27.0 1
2.12147028261 29.0 24
5.54540813647 27.0 1
12.4101811107 29.0 24
1.18484942503 27.0 1
4.53694057708 29.0 26
11.3955168729 27.0 6
0.6096 29.0 4
3.53279212522 27.0 18
10.3811139287 29.0 16
1.18484942503 27.0 18
2.53809428509 29.0 14
9.36705716861 27.0 1
13.4250473966 29.0 5
7.66966448549 27.0 11
7.13807790375 29.0 21
12.4101811107 27.0 20
6.65736858826 29.0 1
6.12640417864 27.0 12
11.3955168729 29.0 1
5.64640343227 27.0 23
5.116445266 29.0 1
10.3811139287 27.0 24
4.63763936933 29.0 1
4.10946567816 27.0 26
9.36705716861 29.0 1
3.63291042004 27.0 26
