Distance Packets_Sent Packets_Received
1.2446 33.0 24
3.29231425596 32.0 10
1.60663784345 34.0 16
2.3828665846 32.0 19
2.3828665846 30.0 17
1.60663784345 31.0 28
3.29231425596 33.0 11
1.2446 32.0 30
4.25030883113 29.0 9
1.60663784345 32.0 18
2.3828665846 32.0 13
3.93577077585 26.0 7
4.91015572054 16.0 1
4.76288945074 34.0 23
3.791497741 12.0 2
1.98737754843 3.0 1
1.2446 34.0 26
1.60663784345 33.0 25
2.3828665846 33.0 20
3.29231425596 34.0 20
4.25030883113 30.0 17
3.19363968537 8.0 6
2.66506405927 28.0 16
1.60663784345 21.0 10
2.4638 30.0 20
4.26372120102 20.0 9
1.2446 3.0 1
2.66506405927 30.0 12
13.6356369811 29.0 14
8.03258685605 20.0 11
6.74521856725 14.0 2
7.07242920078 21.0 17
5.74972075148 31.0 17
6.13029934016 21.0 13
4.76288945074 28.0 8
10.6520526041 22.0 1
5.21597519166 16.0 7
4.34703765799 24.0 11
3.91926197644 32.0 3
3.19363968537 18.0 6
2.66506405927 30.0 3
2.4638 31.0 16
6.13029934016 15.0 3
2.66506405927 31.0 11
1.2446 32.0 11
7.07242920078 10.0 1
3.19363968537 3.0 2
4.25030883113 30.0 9
3.29231425596 2.0 1
2.3828665846 20.0 10
3.19363968537 18.0 7
1.60663784345 30.0 15
4.66489515423 11.0 3
2.66506405927 20.0 5
1.2446 30.0 22
3.69567817863 5.0 2
1.60663784345 17.0 13
2.76031512694 1.0 1
13.4688275139 30.0 8
7.74604223588 15.0 7
7.07242920078 14.0 3
12.4575283343 30.0 3
6.74521856725 23.0 7
10.6520526041 1.0 1
6.13029934016 31.0 26
5.74972075148 22.0 12
5.23024178791 26.0 6
5.21597519166 30.0 28
4.76288945074 23.0 19
4.25030883113 21.0 3
3.791497741 22.0 10
3.29231425596 17.0 2
3.55690702718 12.0 2
2.85136920093 4.0 2
2.3828665846 20.0 14
1.60663784345 32.0 26
4.76288945074 8.0 2
1.2446 31.0 23
2.66506405927 17.0 1
1.60663784345 32.0 23
2.4638 30.0 21
2.3828665846 30.0 15
1.2446 34.0 21
3.29231425596 31.0 20
1.60663784345 34.0 26
2.3828665846 32.0 28
11.4470617103 14.0 2
2.3828665846 34.0 18
1.60663784345 32.0 8
3.29231425596 23.0 2
1.2446 31.0 19
1.60663784345 31.0 15
8.42365256881 32.0 12
5.23024178791 21.0 3
2.3828665846 32.0 23
7.42032210891 3.0 1
14.4807848199 26.0 1
13.4688275139 15.0 7
4.25030883113 34.0 23
3.29231425596 33.0 9
1.60663784345 28.0 9
1.2446 24.0 6
1.60663784345 32.0 9
2.3828665846 33.0 10
3.29231425596 30.0 3
