Distance Rssi
1.2446 -61.4074074074
3.29231425596 -69.2941176471
12.4575283343 -81.0
1.60663784345 -74.2222222222
2.3828665846 -77.5555555556
2.3828665846 -68.6428571429
1.60663784345 -69.8181818182
10.4376694429 -81.3846153846
3.29231425596 -75.1
1.2446 -62.0476190476
4.25030883113 -76.9
1.60663784345 -77.6153846154
8.42365256881 -79.4444444444
5.23024178791 -79.8333333333
2.3828665846 -73.3571428571
7.42032210891 -79.28
6.89505912955 -83.5
3.93577077585 -81.0
5.74972075148 -75.5384615385
4.91015572054 -83.0
4.76288945074 -82.0
3.791497741 -81.0
2.85136920093 -75.4
1.98737754843 -77.5555555556
1.2446 -64.3243243243
1.60663784345 -65.4848484848
2.3828665846 -68.375
3.29231425596 -72.1666666667
4.25030883113 -80.75
5.23024178791 -83.5
7.64577972479 -82.0
4.75251580113 -78.0909090909
14.6360653961 -81.3333333333
15.4932712943 -79.3333333333
6.97728337392 -77.2857142857
13.6356369811 -82.0
5.65057239578 -72.0
3.19363968537 -81.0
6.03740421705 -83.5
2.3828665846 -69.7272727273
13.4688275139 -62.2916666667
2.66506405927 -80.2307692308
11.642873489 -66.0454545455
1.60663784345 -72.0
3.69567817863 -63.4
12.4575283343 -82.0
4.26372120102 -67.1923076923
1.2446 -73.15
2.76031512694 -78.6
2.66506405927 -78.2307692308
3.48433937497 -80.0
9.66646048355 -77.8571428571
12.4575283343 -77.6666666667
9.22831323482 -78.7857142857
13.6356369811 -80.6
8.03258685605 -83.0
7.52667618807 -76.8333333333
11.4470617103 -80.75
6.74521856725 -74.95
8.22273757091 -78.4
12.6376933607 -85.0
7.07242920078 -67.4516129032
10.4376694429 -84.0
5.74972075148 -76.6
7.22008124331 -79.6666666667
11.642873489 -71.1935483871
6.13029934016 -80.5
9.42969654867 -75.9333333333
4.76288945074 -82.2
6.22175579399 -79.1052631579
10.6520526041 -83.0
4.75251580113 -76.5
3.791497741 -78.55
5.23024178791 -74.16
4.34703765799 -72.75
7.42032210891 -81.75
2.85136920093 -70.3703703704
8.68787683384 -62.3333333333
3.19363968537 -78.8333333333
8.42365256881 -73.7391304348
3.791497741 -86.0
3.29231425596 -68.375
4.34703765799 -85.5
2.66506405927 -68.8928571429
4.76288945074 -75.8666666667
2.3828665846 -77.3125
10.6520526041 -82.0
2.4638 -77.1666666667
5.74972075148 -77.2631578947
1.60663784345 -84.0
6.13029934016 -74.2777777778
11.4470617103 -77.1904761905
12.6376933607 -75.7368421053
3.19363968537 -76.2857142857
5.6459463724 -79.6666666667
7.93594536776 -85.0
16.6425831853 -65.0526315789
7.64577972479 -72.8947368421
14.4807848199 -83.25
6.97728337392 -62.04
15.6385017403 -80.0
3.29231425596 -68.2380952381
6.64538952959 -80.375
3.91926197644 -64.0
14.6360653961 -73.1666666667
2.3828665846 -77.3529411765
12.4575283343 -75.7
3.19363968537 -83.0
5.12664881575 -78.8461538462
13.6356369811 -73.2413793103
4.66489515423 -78.9333333333
11.4470617103 -80.6666666667
2.66506405927 -74.5652173913
4.26372120102 -72.4615384615
12.6376933607 -77.7222222222
1.2446 -76.7333333333
3.69567817863 -80.0
10.4376694429 -73.2083333333
2.4638 -69.8823529412
3.48433937497 -83.5
11.642873489 -81.3333333333
1.60663784345 -78.3333333333
2.76031512694 -80.125
9.42969654867 -74.0384615385
12.6376933607 -79.7142857143
9.47011332773 -79.3333333333
7.74604223588 -72.6285714286
7.22008124331 -78.5555555556
7.07242920078 -72.4210526316
8.49321461168 -76.0
12.4575283343 -71.8823529412
6.74521856725 -74.52
6.22175579399 -84.0
10.6520526041 -71.1
6.13029934016 -80.5294117647
7.52667618807 -73.875
11.4470617103 -68.9666666667
5.23024178791 -61.4814814815
5.21597519166 -73.3333333333
6.57506855021 -76.0625
4.76288945074 -75.1666666667
4.25030883113 -83.0
8.68787683384 -77.36
4.34703765799 -68.0
9.42969654867 -74.0
3.791497741 -68.52
3.29231425596 -74.7142857143
3.55690702718 -72.3461538462
4.75251580113 -76.375
8.42365256881 -78.0
2.85136920093 -73.3461538462
2.3828665846 -75.6666666667
8.68787683384 -83.0
4.34703765799 -72.9047619048
3.91926197644 -71.6111111111
9.42969654867 -79.8
3.791497741 -79.5833333333
1.60663784345 -71.0555555556
9.66646048355 -75.6060606061
5.21597519166 -79.1764705882
3.19363968537 -72.0
4.76288945074 -80.3846153846
1.2446 -82.4
10.6520526041 -76.3684210526
6.13029934016 -80.0
2.66506405927 -84.5
11.4470617103 -73.6176470588
1.60663784345 -78.3
11.642873489 -77.652173913
7.07242920078 -85.0
2.4638 -80.9166666667
12.4575283343 -77.4583333333
6.74521856725 -83.5
1.2446 -72.1333333333
1.60663784345 -70.9333333333
2.3828665846 -75.7647058824
3.29231425596 -77.0714285714
4.25030883113 -79.8571428571
5.23024178791 -81.8571428571
