Distance Packets_Sent Packets_Received
5.1106415879 94.0 15
4.34659239405 122.0 22
3.70561539289 112.0 31
3.26110678145 196.0 67
3.0988 205.0 138
3.26110678145 24.0 11
4.12177125518 155.0 21
4.34659239405 20.0 1
4.85219784015 4.0 2
3.70561539289 248.0 143
3.26110678145 200.0 30
3.0988 170.0 19
3.26110678145 207.0 22
4.02291419247 155.0 29
3.70561539289 213.0 30
4.73592518944 72.0 10
3.26110678145 254.0 72
3.0988 251.0 95
3.26110678145 253.0 76
3.70561539289 187.0 22
5.95054295338 104.0 1
5.1106415879 100.0 2
4.34659239405 89.0 1
6.32317172628 134.0 1
3.70561539289 154.0 1
13.7645503697 166.0 1
3.26110678145 303.0 27
3.0988 305.0 211
12.7766797127 302.0 22
8.24952741677 222.0 1
11.7935895333 276.0 9
7.31788943617 274.0 166
8.69867492438 4.0 1
6.41192802517 268.0 57
7.75777709399 29.0 1
5.54424460139 272.0 100
4.73592518944 134.0 1
4.34659239405 131.0 1
3.70561539289 139.0 8
3.26110678145 267.0 117
3.0988 179.0 29
