Distance Rssi
1.2446 -60.5192307692
3.29231425596 -83.75
1.60663784345 -79.0588235294
2.3828665846 -70.45
2.3828665846 -78.6875
1.60663784345 -75.5555555556
3.29231425596 -80.0769230769
1.2446 -68.175
4.25030883113 -84.1
1.60663784345 -77.0434782609
5.23024178791 -83.5
2.3828665846 -81.3333333333
5.74972075148 -81.3333333333
4.91015572054 -82.5
4.76288945074 -83.0
5.89859973214 -82.6
2.85136920093 -83.3333333333
1.98737754843 -79.0
1.2446 -73.9722222222
1.60663784345 -78.3333333333
2.3828665846 -77.0465116279
3.29231425596 -81.2105263158
4.25030883113 -75.5526315789
5.23024178791 -82.0
4.75251580113 -83.5
4.25030883113 -80.8571428571
6.64538952959 -83.7727272727
3.91926197644 -77.9565217391
6.97728337392 -82.8333333333
3.29231425596 -76.2413793103
3.19363968537 -75.7333333333
6.03740421705 -85.0
2.3828665846 -79.2857142857
2.66506405927 -72.619047619
5.12664881575 -77.4545454545
1.60663784345 -71.8545454545
3.69567817863 -80.75
2.4638 -77.0256410256
4.26372120102 -79.375
1.2446 -71.78
2.76031512694 -83.5714285714
2.66506405927 -79.0
3.48433937497 -82.1333333333
12.4575283343 -83.2
7.74604223588 -81.5238095238
13.6356369811 -80.1851851852
8.03258685605 -77.4333333333
7.52667618807 -84.0
11.4470617103 -83.3636363636
6.74521856725 -80.4117647059
12.6376933607 -83.1666666667
7.07242920078 -78.2105263158
6.57506855021 -84.6666666667
10.4376694429 -82.25
5.74972075148 -74.4339622642
6.13029934016 -75.9677419355
4.76288945074 -70.1538461538
5.21597519166 -72.1724137931
8.42365256881 -83.0
3.791497741 -78.0434782609
5.23024178791 -79.5
9.66646048355 -82.5185185185
4.34703765799 -74.1081081081
3.91926197644 -81.0
4.25030883113 -83.2
3.55690702718 -83.25
3.19363968537 -76.5185185185
3.791497741 -84.3333333333
3.29231425596 -79.3428571429
2.66506405927 -78.2727272727
4.76288945074 -78.76
2.3828665846 -74.9333333333
5.21597519166 -82.75
2.4638 -74.6530612245
1.60663784345 -75.2857142857
2.66506405927 -76.0243902439
1.2446 -72.7916666667
3.19363968537 -78.2222222222
5.6459463724 -82.2173913043
4.25030883113 -80.0
4.75251580113 -77.1764705882
6.97728337392 -71.0
3.29231425596 -80.3333333333
3.91926197644 -78.6451612903
6.03740421705 -83.2
2.3828665846 -82.1111111111
5.65057239578 -82.1333333333
3.19363968537 -77.6216216216
5.12664881575 -81.7692307692
1.60663784345 -72.612244898
4.66489515423 -81.9375
2.66506405927 -73.3035714286
4.26372120102 -82.35
1.2446 -71.1739130435
3.69567817863 -80.7142857143
2.4638 -67.8363636364
3.48433937497 -79.08
1.60663784345 -76.5789473684
2.76031512694 -83.25
12.6376933607 -76.8888888889
8.03258685605 -76.4
9.47011332773 -84.3333333333
13.4688275139 -76.5588235294
7.74604223588 -76.8461538462
11.642873489 -81.6666666667
7.07242920078 -77.6166666667
12.4575283343 -81.6
6.74521856725 -76.3333333333
6.22175579399 -82.0
10.6520526041 -79.0454545455
6.13029934016 -73.2575757576
7.52667618807 -84.0
11.4470617103 -76.9166666667
5.74972075148 -71.7575757576
5.23024178791 -85.0
9.66646048355 -82.3333333333
5.21597519166 -70.9130434783
10.4376694429 -82.0
4.76288945074 -76.3870967742
4.25030883113 -80.5909090909
8.68787683384 -80.6666666667
4.34703765799 -74.7916666667
5.6459463724 -83.3333333333
9.42969654867 -83.0
3.791497741 -73.9166666667
3.29231425596 -84.0
7.71896764341 -85.0
3.55690702718 -80.75
4.75251580113 -75.3255813953
2.85136920093 -79.125
2.3828665846 -75.5454545455
4.34703765799 -80.25
3.91926197644 -77.0
3.791497741 -84.0
1.60663784345 -78.3142857143
3.19363968537 -74.9523809524
1.2446 -61.9056603774
6.13029934016 -83.8
2.66506405927 -66.0638297872
11.4470617103 -75.0
1.60663784345 -73.6666666667
7.07242920078 -84.0
2.4638 -69.2826086957
2.3828665846 -81.625
1.2446 -76.6944444444
3.29231425596 -83.3333333333
1.60663784345 -77.619047619
2.3828665846 -80.6666666667
2.3828665846 -76.7027027027
1.60663784345 -72.5476190476
3.29231425596 -79.6842105263
1.2446 -76.8387096774
4.25030883113 -79.96
1.60663784345 -76.9130434783
5.23024178791 -79.8333333333
2.3828665846 -81.0909090909
17.5194647236 -83.0
14.4807848199 -79.3076923077
16.5061895603 -82.4545454545
13.4688275139 -84.2
4.25030883113 -79.0833333333
15.4932712943 -69.0
12.4575283343 -83.3333333333
3.29231425596 -82.25
11.4470617103 -84.6666666667
2.3828665846 -79.0322580645
13.4688275139 -84.0
10.4376694429 -85.0
1.60663784345 -81.2222222222
1.2446 -82.2307692308
1.60663784345 -77.9259259259
3.29231425596 -80.9444444444
4.25030883113 -84.0
