Timestamp Beacon
0.046789 27
0.078181 20
0.078742 44
0.091718 52
0.098445 55
0.11619 51
0.153 56
0.154201 23
0.155965 31
0.180753 6
0.200553 21
0.230641 29
0.266294 58
0.268085 48
0.291339 54
0.325502 4
0.377483 49
0.47649 8
0.506095 26
0.523331 5
0.548228 50
0.611 3
0.66116 28
0.728568 46
0.748071 25
0.834444 53
0.863564 2
1.000873 17
1.051349 27
1.085089 20
1.086446 44
1.100462 52
1.106671 55
1.158337 23
1.160284 31
1.184396 6
1.20103 21
1.238828 29
1.269564 48
1.273723 58
1.292842 9
1.299556 54
1.325583 4
1.328266 40
1.378724 49
1.483557 8
1.506595 26
1.524135 5
1.526959 1
1.551756 50
1.669349 28
1.738684 46
1.756209 25
1.839742 53
1.867702 2
2.007727 17
2.053071 27
2.089556 20
2.100906 52
2.106719 55
2.128835 51
2.160075 56
2.164424 23
2.166373 31
2.192188 6
2.205504 21
2.301734 9
2.30582 54
2.329143 4
2.384146 49
2.492271 8
2.512008 26
2.532308 1
2.621541 3
2.670062 28
2.742391 46
2.765872 25
2.845835 53
2.875014 2
2.926017 35
3.007685 17
3.061934 27
3.091917 20
3.109406 52
3.111345 55
3.121527 7
3.134439 51
3.165569 23
3.16819 31
3.195769 6
3.207659 21
3.249801 29
3.307903 54
3.310564 9
3.337463 4
3.388348 49
3.454608 45
3.501871 8
3.516444 26
3.537811 1
3.54161 5
3.551946 50
3.622859 3
3.670012 28
3.775779 25
3.855955 53
3.883425 2
4.062679 27
4.100554 44
4.111681 52
4.117863 55
4.138092 51
4.172084 23
4.176202 31
4.19639 6
4.211951 21
4.259941 29
4.310047 54
4.310667 9
4.338398 4
4.396882 49
4.510768 8
4.526435 26
4.543588 1
4.557579 50
4.625368 3
4.679941 28
4.75237 46
4.780986 25
4.803159 18
4.857592 53
4.889547 2
5.101574 44
5.103443 20
5.112705 52
5.118948 55
5.126161 7
5.141133 51
5.181193 23
5.185587 31
5.202504 6
5.212824 21
5.265533 29
5.299919 59
5.312374 54
5.320658 9
5.339914 4
5.399436 49
5.520612 8
5.531329 26
5.548296 1
5.560215 5
5.565044 50
5.627083 3
5.652577 33
5.688374 28
5.75858 46
5.784241 25
5.812048 18
5.866156 53
5.894967 2
6.017966 17
6.07012 27
6.103083 44
6.104706 20
6.113362 52
6.126351 55
6.147501 51
6.189234 23
6.194056 31
6.209289 6
6.221388 21
6.268807 29
6.313053 54
6.321279 9
6.346952 4
6.364848 40
6.409191 49
6.499296 11
6.526458 8
6.535247 26
6.549068 1
6.567931 50
6.570357 5
6.630201 3
6.654085 33
6.691315 28
6.765583 46
6.785085 25
6.866481 53
7.117254 52
7.129024 7
7.155608 51
7.185496 56
7.194071 23
7.201061 31
7.218974 6
7.223635 21
7.270921 29
7.29846 48
7.314343 54
7.326936 9
7.349963 4
7.372274 40
7.417787 49
7.477282 45
7.534867 8
7.536271 36
7.550786 1
7.554282 43
7.569872 50
7.576775 5
7.634236 3
7.65422 33
7.689808 60
7.697429 28
7.774326 46
7.792703 25
7.818199 18
7.872267 53
7.903793 2
8.110312 44
8.111503 20
8.136029 55
8.13685 7
8.197778 23
8.208493 31
8.229513 21
8.274378 29
8.316579 54
8.327191 9
8.355078 4
8.422537 49
8.483027 45
8.54288 8
8.555396 43
8.563184 10
8.578099 50
8.585513 5
8.641627 3
8.657589 33
8.705282 28
8.77904 46
8.800505 25
8.878085 53
8.903812 2
9.088224 27
9.120332 20
9.144278 7
9.144866 55
9.167215 51
9.212385 31
9.236825 21
9.277835 29
9.306905 22
9.328911 9
9.364253 4
9.427441 49
9.480045 12
9.486941 45
9.499697 30
9.514469 11
9.541324 26
9.546392 36
9.552937 8
9.561242 1
9.571745 10
9.588025 5
9.606824 41
9.662301 33
9.711579 28
9.80327 25
9.879783 53
9.904349 2
9.952959 35
10.094005 27
10.127759 20
10.146043 55
10.172019 16
10.174559 51
10.213011 31
10.231151 6
10.243588 21
10.287761 29
10.310161 48
10.313542 59
10.314579 22
10.391622 40
10.493052 45
10.503459 30
10.559393 8
10.561739 1
10.565652 43
10.593803 5
10.594402 50
10.615566 41
10.658514 3
10.713086 28
10.788286 46
10.883373 53
11.094658 27
11.128275 52
11.135674 20
11.154117 55
11.162552 7
11.174425 24
11.233877 6
11.248093 21
11.331861 54
11.340164 9
11.377415 4
11.436087 49
11.481858 12
11.525072 11
11.554987 26
11.565257 1
11.568657 8
11.589296 10
11.596404 50
11.599916 5
11.618022 41
11.668224 3
11.679966 33
11.706548 60
11.71627 28
11.807582 25
11.892791 53
11.915006 2
11.962383 35
12.096747 27
12.112458 42
12.128827 44
12.138828 20
12.159963 55
12.165434 7
12.205508 15
12.225548 23
12.235262 6
12.247857 19
12.301144 29
12.340144 9
12.381829 4
12.515102 30
12.519512 32
12.530038 11
12.574444 43
12.578348 8
12.596149 10
12.601793 50
12.67531 3
12.682328 33
12.722721 28
12.795487 46
12.968011 35
13.132869 44
13.140486 20
13.161537 55
13.171458 7
13.180885 16
13.189909 51
13.206779 15
13.239361 6
13.258384 21
13.305424 29
13.327035 58
13.328826 59
13.347143 9
13.38548 4
13.518803 30
13.526177 32
13.569048 26
13.569548 1
13.578396 8
13.59699 10
